#num month (since 2010),mean elev IN,std elev IN,num pts IN,mean elev OUT,std elev OUT,num pts OUT
2010.625,-1.23562824332,0.93810663981,68,-0.140015043301,0.659254554625,373
2010.70833333,-1.204771741,0.838314704791,42,-0.145240809267,0.653982253998,194
2010.79166667,-0.862470974319,0.659400734649,75,-0.0890762753075,0.649446384866,385
2010.875,-0.889079056149,0.737469046007,74,-0.070691606561,0.655239557531,385
2010.95833333,-0.996494267326,0.784468429575,102,-0.138338006814,0.670725296184,566
2011.04166667,-1.05003943252,0.730280889446,95,-0.20877158974,0.682542841867,607
2011.125,-1.0839971544,0.742076006434,118,-0.255614310481,0.653094357203,675
2011.20833333,-1.01881481598,0.695903882508,124,-0.243588775513,0.630296855165,702
2011.29166667,-1.0420980456,0.642475268857,96,-0.251600111183,0.605788412686,627
2011.375,-1.04495333519,0.673605980223,74,-0.30262283973,0.623640837712,621
2011.45833333,-1.03030432645,0.702968306025,95,-0.308878541901,0.563043894415,642
2011.54166667,-0.882806971032,0.634165099323,124,-0.302048380289,0.579102287618,708
2011.625,-0.902482483833,0.620194944165,129,-0.278159614584,0.57091612709,669
2011.70833333,-0.965406989968,0.629923818027,100,-0.252454637658,0.605376240263,642
2011.79166667,-0.964383563522,0.631540930348,93,-0.243983310959,0.605011264252,593
2011.875,-0.98719120095,0.612448244442,94,-0.269674989566,0.5865809332,600
2011.95833333,-0.986265433643,0.59112965124,96,-0.301296328409,0.559171132512,614
2012.04166667,-1.03759976448,0.727670730014,96,-0.300612942134,0.575136175339,630
2012.125,-0.822937836749,0.734713410331,95,-0.21018250324,0.588194976607,675
2012.20833333,-0.716106289312,0.734110791441,120,-0.177341126634,0.585551271351,622
2012.29166667,-0.736846616539,0.65618318853,127,-0.0712789402662,0.613553994451,722
2012.375,-0.712873301679,0.689363963705,121,-0.0172186061407,0.621549476101,686
2012.45833333,-0.558628163602,0.6573341006,112,0.0454003847316,0.612507877242,715
2012.54166667,-0.418374507808,0.670865559512,125,0.102123131328,0.590279724515,701
2012.625,-0.389001503171,0.699491136842,130,0.143531374,0.585568456716,700
2012.70833333,-0.37270849652,0.716376761229,120,0.188830534523,0.580344954549,661
2012.79166667,-0.425533327818,0.72466106649,110,0.193489319681,0.600482905141,622
2012.875,-0.469663039264,0.720024296072,106,0.120192042192,0.612413313892,629
2012.95833333,-0.414048182987,0.70187461132,113,0.0848179046472,0.646022034763,633
2013.04166667,-0.328805356998,0.715712372001,112,0.128223726968,0.648001185985,597
2013.125,-0.216122622297,0.631988561782,117,0.256835990213,0.661791658558,595
2013.20833333,-0.191969707564,0.605907374896,110,0.2815826783,0.603965861081,640
2013.29166667,-0.213333380165,0.563297177982,126,0.294726304131,0.637696138931,716
2013.375,-0.208895950689,0.577500802498,115,0.248509208217,0.597101201029,718
2013.45833333,-0.169851237297,0.611534985892,119,0.271393452147,0.6136658431,695
2013.54166667,-0.0557260808474,0.595775927689,116,0.264786216402,0.676131271399,709
2013.625,0.0921165246206,0.564587203055,131,0.281246816338,0.671801137381,721
2013.70833333,0.238852418024,0.575185261168,119,0.328897641455,0.6580391067,753
2013.79166667,0.376789955277,0.592250260422,103,0.298056450313,0.588352475863,654
2013.875,0.618483128723,0.657368329461,105,0.313707647437,0.572632093721,614
2013.95833333,0.78379013566,0.722365017932,107,0.267206798898,0.64984349758,617
2014.04166667,0.880258534076,0.716209275163,112,0.270711126251,0.647499736763,623
2014.125,1.12207216937,0.827902963024,104,0.269173924463,0.62588955318,625
2014.20833333,1.36134213829,1.14283288722,114,0.229564680049,0.599730849881,603
2014.29166667,1.81855437713,0.981697282829,112,0.280010520855,0.694057312208,614
2014.375,2.04364103958,0.965297791943,115,0.325443030758,0.690465814037,647
2014.45833333,1.97888700097,0.90959310358,129,0.401810077676,0.67528899019,691
2014.54166667,1.72749577964,0.963961378026,132,0.451209442271,0.646096794498,694
2014.625,1.17304330986,0.92904065024,125,0.481089616997,0.661603847513,682
2014.70833333,0.633539721803,0.730120406378,126,0.517593781845,0.642226626351,683
2014.79166667,0.433689044834,0.582825441024,124,0.484017577902,0.654504459946,701
2014.875,0.356494575459,0.598923008812,106,0.438218909719,0.620410392705,658
2014.95833333,0.244457654634,0.567222242251,83,0.423525914211,0.676128159177,608
2015.04166667,0.297937506492,0.602761419901,76,0.389604969757,0.682194877847,578
2015.125,0.284431778736,0.539172134149,101,0.444408169936,0.660486510049,595
2015.20833333,0.276423327093,0.531100711108,110,0.404075914608,0.623278985896,615
2015.29166667,0.204760636973,0.542020223521,114,0.395064564385,0.625351040333,620
2015.375,0.232694699355,0.580671893559,109,0.42391815841,0.60195825782,577
2015.45833333,0.295956109344,0.540818264558,114,0.412137910363,0.57257416148,575
2015.54166667,0.359047565383,0.478051076219,133,0.471785440924,0.563912057677,638
2015.625,0.372026735286,0.526111616273,130,0.473271093887,0.60697298144,738
2015.70833333,0.423723736767,0.523872427695,126,0.526919298054,0.599319499965,724
2015.79166667,0.477249028817,0.497275814245,100,0.53701590454,0.641042337667,673
2015.875,0.351823901005,0.474675442382,111,0.438148643794,0.628796054761,665
2015.95833333,0.368691329493,0.488065626603,99,0.465859124428,0.650730042144,690
2016.04166667,0.42793675153,0.558612905197,105,0.472262798605,0.663212748034,689
2016.125,0.705211971597,0.482442197621,98,0.655841761093,0.663206337026,644
2016.20833333,0.773984995913,0.535441107924,109,0.674479714685,0.606560772292,602
2016.29166667,0.906322890023,0.565775491097,107,0.743633927736,0.60881790643,600
2016.375,1.18461064358,0.661375926505,108,0.799708774136,0.619486706066,594
