#num month (since 2010),mean elev IN,std elev IN,num pts IN,mean elev OUT,std elev OUT,num pts OUT
2010.625,-0.393620041364,1.00193473673,263,-0.00657832671068,0.847671098646,4708
2010.70833333,-0.205229166324,0.884450165428,189,0.0451796901276,0.812879542717,4177
2010.79166667,-0.335934313099,0.96340324085,312,-0.026492041848,0.762348387845,6277
2010.875,-0.589626415905,0.977577694009,291,-0.142223522737,0.782260400706,6747
2010.95833333,-0.715632196243,0.945728481324,401,-0.2638823527,0.843676702269,8181
2011.04166667,-0.764131253704,0.908335626892,384,-0.322552467522,0.843469198479,8295
2011.125,-0.795339015548,1.03380368879,394,-0.368806878976,0.880852678813,8690
2011.20833333,-0.835281805052,0.935035053772,388,-0.372261736604,0.805467655807,8729
2011.29166667,-0.818248062754,0.957332972536,379,-0.451616518202,0.833752275421,8369
2011.375,-0.856601280343,0.929874487189,398,-0.46903430167,0.809390388859,8396
2011.45833333,-0.810695863329,0.907592525934,461,-0.417378680919,0.775478629299,8695
2011.54166667,-0.644181317591,0.940993182835,531,-0.278596276192,0.833798330523,9525
2011.625,-0.469210899164,0.926776990524,538,-0.170700088004,0.788056619869,9483
2011.70833333,-0.332543706684,0.909421340549,465,-0.0615046562444,0.764829510717,9216
2011.79166667,-0.388047899146,0.85755645594,413,-0.127821006421,0.766503943403,8804
2011.875,-0.518166658236,0.887148764609,410,-0.191621347912,0.779033751691,8667
2011.95833333,-0.6271502663,0.888211751297,413,-0.323169159692,0.766835037099,8508
2012.04166667,-0.68363618139,0.968590948144,417,-0.353540935452,0.79595485418,8502
2012.125,-0.622809018356,0.983140147316,394,-0.333746141999,0.806681616439,8477
2012.20833333,-0.569185246006,0.895502171139,392,-0.304675180763,0.80017432243,8526
2012.29166667,-0.485292594674,0.89127209688,404,-0.218122146351,0.813514017596,8862
2012.375,-0.441987537052,0.962469610205,422,-0.150998875716,0.829538766346,9170
2012.45833333,-0.269482312829,0.901755359681,454,-0.0429794680089,0.784387632399,9460
2012.54166667,-0.132911794601,0.934416700969,536,-0.0166565816368,0.76477174342,9553
2012.625,0.0764546061035,1.02582768147,573,0.057568088721,0.751883166709,9774
2012.70833333,0.582147949202,1.19905962897,521,0.135249367792,0.782086415527,9797
2012.79166667,1.14839080405,1.37248569022,462,0.179726508522,0.791126593703,9453
2012.875,1.48983396011,1.27072255202,432,0.145322894876,0.801118755516,9171
2012.95833333,1.29356953081,1.32462679184,433,0.133225780714,0.792823607044,8721
2013.04166667,0.908913062567,1.17766257644,417,0.0796627374106,0.828941071342,8575
2013.125,0.615800599038,1.08256367786,407,0.110538026907,0.825052631042,8421
2013.20833333,0.380902308992,0.886326082853,402,0.114020673981,0.800310068941,8397
2013.29166667,0.291446167963,0.846823551055,408,0.19346194807,0.771995983024,8508
2013.375,0.371043927008,0.82816442254,418,0.251030721788,0.801901787701,8698
2013.45833333,0.492694386895,0.782613009095,409,0.299378222309,0.786387109198,9074
2013.54166667,0.692948377793,0.922306758624,456,0.342385783416,0.763104551694,9448
2013.625,0.902343782346,0.970834283414,511,0.344654996062,0.738757267087,9504
2013.70833333,1.07368773554,1.01077749436,528,0.365549137643,0.753075773779,8553
2013.79166667,1.2097499775,1.04454232924,503,0.351532861558,0.753410120641,8557
2013.875,1.07852160067,1.09845293071,436,0.281795381308,0.79367261465,8816
2013.95833333,0.818992442935,1.10200464776,430,0.204910738371,0.814036178804,9509
2014.04166667,0.588051970805,0.947939375022,415,0.117070309075,0.815413632209,9031
2014.125,0.395141443641,0.848278553935,398,0.0859503446558,0.783836707088,8472
2014.20833333,0.313830619196,0.823093624549,394,0.0893362044494,0.746726428434,8363
2014.29166667,0.264871004594,0.787752693823,405,0.154629020609,0.753651896784,8442
2014.375,0.249976531276,0.704083088336,394,0.230871146136,0.749230716423,8430
2014.45833333,0.195740854574,0.735457097831,402,0.272662740007,0.75110972735,8149
2014.54166667,0.171146533114,0.796189009907,422,0.340108474546,0.777856096385,8390
2014.625,0.174611215215,0.744418250887,414,0.42593293014,0.807787995859,8833
2014.70833333,0.111386867049,0.839515759406,488,0.448394908559,0.806042795476,9481
2014.79166667,0.0760283708853,0.84250100554,491,0.432939985923,0.788984339659,9477
2014.875,0.0245793402414,0.857127020056,526,0.329699293047,0.750688959185,9505
2014.95833333,-0.02757427202,0.816046883244,460,0.283173690633,0.734582063315,9454
2015.04166667,-0.117075566274,0.890321535274,427,0.20276377799,0.740591702598,9136
2015.125,-0.130443849219,0.915048199676,401,0.211701260823,0.797535742164,9166
2015.20833333,-0.161256237736,0.930678362188,395,0.220002798679,0.765596931506,8779
2015.29166667,-0.174649234143,0.881547972982,397,0.2298858085,0.769575895306,8796
2015.375,-0.195621066953,0.873495294517,392,0.249491306342,0.736394243758,8213
2015.45833333,-0.221172533831,0.951688603353,393,0.265115761308,0.766902511413,8249
2015.54166667,-0.112485105283,0.901456272542,412,0.321400280626,0.763497121329,8310
2015.625,-0.0835351542393,0.856789501524,407,0.352101754075,0.815666810394,8618
2015.70833333,-0.0375787760846,0.831284223933,423,0.384132995261,0.818541060011,8952
2015.79166667,-0.0843813556694,0.917930102258,447,0.375470448218,0.813774812463,8960
2015.875,-0.187514572236,0.969240389639,492,0.262342914476,0.776813051645,9443
2015.95833333,-0.268974851331,1.0068174136,503,0.203041887366,0.790766363272,9583
2016.04166667,-0.28265956287,0.982726419972,464,0.237150272803,0.802137765198,9659
2016.125,-0.186677823099,1.06525186281,440,0.383548361649,0.795502851139,9514
